InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV010000,PROD7124,Desk Lamp,3,2023-12-15,91.94,8270,USA
INV010000,PROD1690,Monitor,3,2023-12-15,16.33,8270,USA
INV010000,PROD1615,Laptop,4,2023-12-15,70.07,8270,USA
INV010000,PROD5377,Calendar,4,2023-12-15,143.07,8270,USA
INV010000,PROD2354,Phone Case,2,2023-12-15,16.0,8270,USA
INV010001,PROD2354,Phone Case,2,2024-01-21,107.33,7949,USA
INV010001,PROD9673,Smartphone,4,2024-01-21,9.5,7949,USA
INV010001,PROD9858,Screen Protector,3,2024-01-21,124.31,7949,USA
INV010001,PROD3803,Charger,2,2024-01-21,14.1,7949,USA
INV010002,PROD1962,Notebook,4,2023-09-28,105.28,3747,UK
INV010002,PROD4970,Tablet Cover,4,2023-09-28,96.02,3747,UK
INV010002,PROD5865,Mouse,1,2023-09-28,123.47,3747,UK
INV010003,PROD1615,Laptop,1,2024-01-23,8.11,6393,Canada
INV010003,PROD3746,Keyboard,2,2024-01-23,138.43,6393,Canada
INV010004,PROD9731,USB Drive,2,2023-09-21,134.19,6486,USA
INV010004,PROD9673,Smartphone,2,2023-09-21,87.91,6486,USA
INV010004,PROD7852,Coffee Mug,2,2023-09-21,111.61,6486,USA
INV010004,PROD8790,Pen Set,2,2023-09-21,11.11,6486,USA
INV010005,PROD1615,Laptop,1,2023-02-13,192.43,7873,Canada
INV010005,PROD6553,Water Bottle,1,2023-02-13,80.79,7873,Canada
INV010005,PROD9731,USB Drive,2,2023-02-13,110.24,7873,Canada
INV010005,PROD0552,Desk Organizer,4,2023-02-13,74.57,7873,Canada
INV010006,PROD7703,Headphones,1,2023-07-07,19.54,5859,UK
INV010006,PROD4418,Webcam,3,2023-07-07,87.56,5859,UK
INV010006,PROD1690,Monitor,1,2023-07-07,43.75,5859,UK
INV010007,PROD0672,Stylus Pen,1,2023-03-22,185.63,6258,Germany
INV010007,PROD1962,Notebook,2,2023-03-22,27.59,6258,Germany
INV010007,PROD2354,Phone Case,3,2023-03-22,170.76,6258,Germany
INV010008,PROD0523,Paper Clips,3,2023-02-17,120.3,4104,USA
INV010008,PROD1615,Laptop,2,2023-02-17,178.01,4104,USA
INV010008,PROD6663,Stapler,1,2023-02-17,79.67,4104,USA
INV010008,PROD4418,Webcam,3,2023-02-17,144.08,4104,USA
INV010008,PROD0552,Desk Organizer,1,2023-02-17,145.74,4104,USA
INV010009,PROD6553,Water Bottle,3,2023-09-12,26.62,1502,USA
INV010010,PROD2354,Phone Case,1,2023-06-28,104.17,8035,USA
INV010010,PROD7703,Headphones,2,2023-06-28,32.17,8035,USA
INV010010,PROD9731,USB Drive,3,2023-06-28,85.02,8035,USA
INV010010,PROD6663,Stapler,3,2023-06-28,44.6,8035,USA
INV010011,PROD4129,Power Bank,2,2023-06-09,126.75,7668,UK
